"TagCode"	"agency"	"run"	"hatchery"	"stock"	"release_loc"	"brood_year"	"hatch_reg"	"stock_reg"	"rel_reg"	"DIT"
"211146"	"STIL"	"Fall"	"BRENNER HATCHERY"	"STILLAGUAMISH R"	"STILLAGUAMISH R -SF"	2016	"NPS"	"NPS"	"NPS"	NA
"211284"	"STIL"	"Fall"	"BRENNER HATCHERY"	"STILLAGUAMISH R"	"STILLAGUAMISH R -SF"	2017	"NPS"	"NPS"	"NPS"	NA
"211213"	"STIL"	"Summer"	"WHITEHORSE POND"	"STILLAGUAMISH R -NF"	"WHITEHORSE SPRINGS"	2016	"NPS"	"NPS"	"NPS"	NA
"211242"	"STIL"	"Fall"	"BRENNER HATCHERY"	"STILLAGUAMISH R"	"STILLAGUAMISH R -SF"	2016	"NPS"	"NPS"	"NPS"	NA
"211279"	"STIL"	"Summer"	"WHITEHORSE POND"	"STILLAGUAMISH R -NF"	"WHITEHORSE SPRINGS"	2017	"NPS"	"NPS"	"NPS"	NA
"211218"	"QDNR"	"Fall"	"SALMON R FISH CULTUR"	"QUEETS R     21.0016"	"SALMON R     21.0139"	2017	"NWC"	"NWC"	"NWC"	NA
"211282"	"QDNR"	"Fall"	"QUINAULT LK HATCHERY"	"QUINAULT LK   (21)"	"QUINAULT LK (GRAY)"	2017	"NWC"	"NWC"	"NWC"	NA
"211281"	"QDNR"	"Fall"	"QUINAULT LK HATCHERY"	"QUINAULT LK   (21)"	"QUINAULT LK (GRAY)"	2017	"NWC"	"NWC"	"NWC"	"DIT"
"211265"	"NWIFC"	"Summer"	"SOLDUC HATCHERY"	"SOL DUC R   20.0096"	"SOL DUC R   20.0096"	2017	"NWC"	"NWC"	"NWC"	NA
"090644"	"ODFW"	"Spring"	"CLACKAMAS HATCHERY"	"CLACKAMAS R EARLY"	"CLACKAMAS R"	2013	"LOCR"	"LOCR"	"LOCR"	NA
"055663"	"USFWS"	"Late fall"	"COLEMAN NFH"	"COLEMAN NFH"	"COLEMAN NFH"	2013	"SAFA"	"SAFA"	"SAFA"	NA
"091010"	"ODFW"	"Fall"	"UMATILLA HATCHERY"	"WA URB LITTLE WHITE"	"UMATILLA R"	2015	"CECR"	"CECR"	"CECR"	NA
"091005"	"ODFW"	"Fall"	"BONNEVILLE HATCHERY"	"WA URB LITTLE WHITE"	"UMATILLA R"	2015	"LOCR"	"CECR"	"CECR"	NA
"091091"	"ODFW"	"Spring"	"LOOKINGGLASS HATCH"	"CATHERINE CR (GRANDE"	"CATHERINE CR (GRANDE"	2016	"SNAK"	"SNAK"	"SNAK"	NA
"091068"	"ODFW"	"Spring"	"LOOKINGGLASS HATCH"	"GRANDE RONDE R UPR"	"GRANDE RONDE R 2"	2015	"SNAK"	"SNAK"	"SNAK"	"DIT"
"090492"	"ODFW"	"URB L-Fall"	"UMATILLA HATCHERY"	"UMATILLA R"	"UMATILLA R"	2010	"CECR"	"CECR"	"CECR"	NA
"055748"	"USFWS"	"Late fall"	"COLEMAN NFH"	"COLEMAN NFH"	"COLEMAN NFH"	2014	"SAFA"	"SAFA"	"SAFA"	NA
"090761"	"ODFW"	"Spring"	"LOOKINGGLASS HATCH"	"GRANDE RONDE R UPR"	"GRANDE RONDE R 2"	2012	"SNAK"	"SNAK"	"SNAK"	"DIT"
"636953"	"WDFW"	"Fall"	"NEMAH HATCHERY"	"WILLAPA R    24.0251"	"NORTH NEMAH R24.0460"	2015	"WILP"	"WILP"	"WILP"	"DIT"
"636969"	"WDFW"	"Fall"	"COWLITZ SALMON HATCHERY"	"COWLITZ R    26.0002"	"COWLITZ R    26.0002"	2015	"LOCR"	"LOCR"	"LOCR"	NA
"090791"	"ODFW"	"Spring"	"LOOKINGGLASS HATCH"	"LOSTINE R ENDEMIC"	"LOSTINE R"	2013	"SNAK"	"SNAK"	"SNAK"	NA
"637173"	"WDFW"	"Fall"	"MINTER CR HATCHERY"	"MINTER CR HATCHERY"	"MINTER CR    15.0048"	2016	"SPS"	"SPS"	"SPS"	NA
"637167"	"WDFW"	"Fall"	"HOODSPORT HATCHERY"	"SKOKOMISH R  16.0001"	"FINCH CR     16.0222"	2016	"HOOD"	"HOOD"	"HOOD"	NA
"637344"	"WDFW"	"Fall"	"WASHOUGAL HATCHERY"	"WASHOUGAL HATCHERY"	"WASHOUGAL R  28.0159"	2017	"LOCR"	"LOCR"	"LOCR"	NA
"637372"	"WDFW"	"Fall"	"ELWHA HATCHERY"	"ELWHA R      18.0272"	"ELWHA R      18.0272"	2018	"JUAN"	"JUAN"	"JUAN"	"DIT"
"637357"	"WDFW"	"Fall"	"PRIEST RAPIDS HATCHERY"	"PRIEST RAPIDS   (36)"	"COL R @ PRIEST RAPIDS"	2017	"UPCR"	"UPCR"	"UPCR"	"DIT"
"040871"	"ADFG"	"Spring"	"PORT SAINT NICHOLAS"	"ANDREW CR 108-40"	"COFFMAN COVE 106-30"	2010	"SEAK"	"SEAK"	"SEAK"	NA
"637445"	"WDFW"	"Spring"	"FORKS CREEK HATCHERY"	"KALAMA R HATCH  27.0002"	"FORK CR      24.0356"	2018	"WILP"	"LOCR"	"WILP"	NA
"637447"	"WDFW"	"Spring"	"CHIWAWA HATCHERY"	"CHIWAWA R    45.0759"	"CHIWAWA R    45.0759"	2018	"UPCR"	"UPCR"	"UPCR"	"DIT"
"090849"	"ODFW"	"Spring"	"SOUTH SANTIAM HATCH"	"SANTIAM R S FK"	"SANTIAM R S FK"	2013	"LOCR"	"LOCR"	"LOCR"	NA
"637513"	"WDFW"	"Fall"	"PRIEST RAPIDS HATCHERY"	"PRIEST RAPIDS   (36)"	"COL R @ PRIEST RAPIDS"	2018	"UPCR"	"UPCR"	"UPCR"	"DIT"
"637697"	"WDFW"	"Spring"	"CHEWUCH ACCLIMATION"	"METHOW R     48.0002"	"CHEWUCH R    48.0728"	2019	"UPCR"	"UPCR"	"UPCR"	"DIT"
"183573"	"CDFO"	"Fall"	"H-Port Renfrew Seapen"	"S-San Juan R"	"R-Port Renfrew"	2013	""	""	""	NA
"090898"	"ODFW"	"Fall"	"MORGAN CR (STEP-COOS"	"COOS R"	"MORGAN CR (COOS R)"	2014	"SOOR"	"SOOR"	"SOOR"	NA
"182089"	"CDFO"	"Summer"	"H-Shuswap River, Middle,"	"S-Shuswap R Low"	"R-Shuswap R Low"	2011	""	""	""	NA
"182068"	"CDFO"	"Fall"	"H-Chilliwack River H"	"S-Chilliwack R"	"R-Chilliwack R"	2011	""	""	""	NA
"044882"	"ADFG"	"Summer"	NA	"UNUK R 101-75"	"UNUK R 101-75"	2016	NA	"SEAK"	"SEAK"	NA
"044874"	"ADFG"	"Spring"	NA	"CHILKAT R 115-32"	"CHILKAT R 115-32"	2017	NA	"SEAK"	"SEAK"	NA
"044879"	"ADFG"	"Summer"	NA	"UNUK R 101-75"	"UNUK R 101-75"	2017	NA	"SEAK"	"SEAK"	NA
"045045"	"ADFG"	"Spring"	NA	"COPPER R 212-20"	"TEBAY R 212-20"	2016	NA	"CNAK"	"CNAK"	NA
"180770"	"CDFO"	"Fall"	"H-Phillips River H"	"S-Phillips R"	"R-Phillips Lk"	2012	""	""	""	NA
"091006"	"ODFW"	"Fall"	"KLASKANINE HATCHERY"	"COLE RIVERS HATCHERY"	"KLASKANINE R N FK"	2015	"LOCR"	"SOOR"	"LOCR"	NA
"090537"	"ODFW"	"Spring"	"MCKENZIE HATCHERY"	"MCKENZIE HATCHERY"	"WILLAMETTE R CST FK"	2010	"LOCR"	"LOCR"	"LOCR"	NA
"181390"	"CDFO"	"Fall"	"H-Quinsam River H"	"S-Quinsam R"	"R-Quinsam R"	2010	""	""	""	NA
"181395"	"CDFO"	"Fall"	"H-Cowichan River H"	"S-Cowichan R"	"R-Cowichan R"	2010	""	""	""	NA
"094524"	"ODFW"	"Fall"	"KLASKANINE HATCHERY"	"COLE RIVERS HATCHERY"	"KLASKANINE R N FK"	2017	"LOCR"	"SOOR"	"LOCR"	NA
"091175"	"ODFW"	"Spring"	"ROUND BUTTE HATCHERY"	"DESCHUTES R"	"DESCHUTES R-2/OR"	2016	"CECR"	"CECR"	"CECR"	NA
"041541"	"ADFG"	"Spring"	NA	"UNUK R 101-75"	"UNUK R 101-75"	2015	NA	"SEAK"	"SEAK"	NA
"181977"	"CDFO"	"Fall"	"H-Cowichan River H"	"S-Cowichan R"	"R-Cowichan R"	2011	""	""	""	NA
"090374"	"ODFW"	"Spring"	"WILLAMETTE HATCHERY"	"SANTIAM R S FK"	"MOLALLA R"	2010	"LOCR"	"LOCR"	"LOCR"	NA
"635590"	"WDFW"	"Summer"	"WALLACE R HATCHERY"	"SKYKOMISH R  07.0012"	"WALLACE R    07.0940"	2010	"NPS"	"NPS"	"NPS"	NA
"042588"	"ADFG"	"Spring"	"WHITMAN LAKE"	"WHITMAN LAKE H"	"NEETS BAY 101-90"	2010	"SEAK"	"SEAK"	"SEAK"	NA
"091125"	"ODFW"	"Spring"	"DEXTER PONDS (WILLAM"	"MID WILLAMETTE R"	"WILLAMETTE R M FK-1"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"091126"	"ODFW"	"Spring"	"DEXTER PONDS (WILLAM"	"MID WILLAMETTE R"	"WILLAMETTE R M FK-1"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"635772"	"WDFW"	"Spring"	"MINTER CR HATCHERY"	"WHITE R      10.0031"	"MINTER CR    15.0048"	2010	"SPS"	"MPS"	"SPS"	NA
"042799"	"ADFG"	"Spring"	"CRYSTAL LAKE"	"WHITMAN LAKE H"	"NEETS BAY 101-90"	2010	"SEAK"	"SEAK"	"SEAK"	NA
"185615"	"CDFO"	"Summer"	"H-Deep Creek/ SKNA H"	"S-Kitsum Bel Canyon"	"R-Kitsum Bel Canyon"	2013	""	""	""	NA
"636199"	"WDFW"	"Fall"	"FALLERT CR HATCHERY"	"KALAMA R     27.0002"	"FALLERT CR   27.0017"	2011	"LOCR"	"LOCR"	"LOCR"	NA
"636642"	"WDFW"	"Spring"	"COWLITZ SALMON HATCHERY"	"COWLITZ R    26.0002"	"COWLITZ R    26.0002"	2013	"LOCR"	"LOCR"	"LOCR"	NA
"636656"	"WDFW"	"Fall"	"COWLITZ SALMON HATCHERY"	"COWLITZ R    26.0002"	"COWLITZ R    26.0002"	2013	"LOCR"	"LOCR"	"LOCR"	NA
"636903"	"WDFW"	"Spring"	"CHEWUCH ACCLIMATION"	"METHOW R     48.0002"	"CHEWUCH R    48.0728"	2015	"UPCR"	"UPCR"	"UPCR"	"DIT"
"636915"	"WDFW"	"Fall"	"NORTH TOUTLE HATCHERY"	"TOUTLE R     26.0227"	"GREEN R      26.0323"	2015	"LOCR"	"LOCR"	"LOCR"	NA
"636961"	"WDFW"	"Fall"	"GEORGE ADAMS HATCHERY"	"GEORGE ADAMS (PURDY)"	"PURDY CR     16.0005"	2015	"HOOD"	"HOOD"	"HOOD"	"DIT"
"044564"	"ADFG"	"Spring"	"MACAULAY"	"MACAULAY H"	"LENA COVE 111-50"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"637022"	"WDFW"	"Fall"	"ISSAQUAH HATCHERY"	"ISSAQUAH CR  08.0178"	"ISSAQUAH CR  08.0178"	2015	"MPS"	"MPS"	"MPS"	NA
"183665"	"CDFO"	"Spring"	"H-Kitimat River H"	"S-Kitimat R"	"R-Kitimat R"	2014	""	""	""	NA
"637028"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS R      27.0168"	"LEWIS R -NF  27.0168"	2015	"LOCR"	"LOCR"	"LOCR"	NA
"090552"	"ODFW"	"Spring"	"LOOKINGGLASS HATCH"	"IMNAHA R AND TRIBS"	"IMNAHA R"	2011	"SNAK"	"SNAK"	"SNAK"	NA
"044666"	"ADFG"	"Spring"	"CRYSTAL LAKE"	"WHITMAN LAKE H"	"NEETS BAY 101-90"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"044665"	"ADFG"	"Spring"	"CRYSTAL LAKE"	"WHITMAN LAKE H"	"NEETS BAY 101-90"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"044671"	"ADFG"	"Spring"	"WHITMAN LAKE"	"WHITMAN LAKE H"	"CARROLL INLET 101-45"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"044679"	"ADFG"	"Spring"	"WHITMAN LAKE"	"WHITMAN LAKE H"	"HERRING COVE 101-45"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"044681"	"ADFG"	"Spring"	"WHITMAN LAKE"	"WHITMAN LAKE H"	"CARROLL INLET 101-45"	2015	"SEAK"	"SEAK"	"SEAK"	NA
"044692"	"ADFG"	"Summer"	"HIDDEN FALLS"	"HIDDEN FALLS H"	"KASNYKU BAY 112-11"	2016	"SEAK"	"SEAK"	"SEAK"	NA
"044768"	"ADFG"	"Summer"	"MEDVEJIE"	"MEDVEJIE H"	"BEAR COVE 113-41"	2017	"SEAK"	"SEAK"	"SEAK"	NA
"044774"	"ADFG"	"Summer"	"MEDVEJIE"	"MEDVEJIE H"	"BEAR COVE 113-41"	2016	"SEAK"	"SEAK"	"SEAK"	NA
"637096"	"WDFW"	"Fall"	"WASHOUGAL HATCHERY"	"WASHOUGAL R  28.0159"	"WASHOUGAL R  28.0159"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"044769"	"ADFG"	"Summer"	"MEDVEJIE"	"MEDVEJIE H"	"BEAR COVE 113-41"	2017	"SEAK"	"SEAK"	"SEAK"	NA
"045033"	"ADFG"	"Spring"	"WHITMAN LAKE"	"WHITMAN LAKE H"	"CARROLL INLET 101-45"	2016	"SEAK"	"SEAK"	"SEAK"	NA
"181397"	"CDFO"	"Fall"	"H-Cowichan River H"	"S-Cowichan R"	"R-Cowichan R"	2010	""	""	""	NA
"637123"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS RIVER HATCHERY"	"LEWIS R -NF  27.0168"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"637152"	"WDFW"	"Spring"	"COWLITZ SALMON HATCHERY"	"COWLITZ R    26.0002"	"COWLITZ R    26.0002"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"637172"	"WDFW"	"Summer"	"WALLACE R HATCHERY"	"SKYKOMISH R  07.0012"	"WALLACE R    07.0940"	2016	"NPS"	"NPS"	"NPS"	"DIT"
"637190"	"WDFW"	"Spring"	"CATHLAMET CHANNEL NP"	"COWLITZ R    26.0002"	"CATHLAMET CHANNEL NP"	2016	"LOCR"	"LOCR"	"LOCR"	NA
"637202"	"WDFW"	"Fall"	"LYONS FERRY HATCHERY"	"SNAKE R-LOWR 33.0002"	"LYONS FERRY REL.SITE"	2016	"SNAK"	"SNAK"	"SNAK"	"DIT"
"637387"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS RIVER HATCHERY"	"LEWIS R -NF  27.0168"	2017	"LOCR"	"LOCR"	"LOCR"	"DIT"
"180592"	"CDFO"	"Summer"	"H-Puntledge River H"	"S-Puntledge R"	"R-Puntledge R"	2010	""	""	""	NA
"637452"	"WDFW"	"Fall"	"FALLERT CR HATCHERY"	"KALAMA R HATCH  27.0002"	"FALLERT CR   27.0017"	2018	"LOCR"	"LOCR"	"LOCR"	NA
"637476"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS RIVER HATCHERY"	"LEWIS R -NF  27.0168"	2018	"LOCR"	"LOCR"	"LOCR"	NA
"637581"	"WDFW"	"Fall"	"GARRISON HATCHERY"	"TUMWATER FALLS HATCHERY"	"CHAMBERS CR  12.0007"	2019	"SPS"	"SPS"	"SPS"	NA
"042766"	"ADFG"	"Spring"	"MEDVEJIE"	"MEDVEJIE H"	"BEAR COVE 113-41"	2010	"SEAK"	"SEAK"	"SEAK"	NA
"637593"	"WDFW"	"Summer"	"DRYDEN POND"	"WENATCHEE R  45.0030"	"WENATCHEE R  45.0030"	2018	"UPCR"	"UPCR"	"UPCR"	NA
"637614"	"WDFW"	"Fall"	"MINTER CR HATCHERY"	"MINTER CR HATCHERY"	"MINTER CR    15.0048"	2019	"SPS"	"SPS"	"SPS"	NA
"637624"	"WDFW"	"Fall"	"NASELLE HATCHERY"	"NASELLE R    24.0543"	"NASELLE R    24.0543"	2019	"WILP"	"WILP"	"WILP"	NA
"637629"	"WDFW"	"Fall"	"NORTH TOUTLE HATCHERY"	"TOUTLE R     26.0227"	"GREEN R      26.0323"	2019	"LOCR"	"LOCR"	"LOCR"	NA
"637634"	"WDFW"	"Spring"	"MARBLEMOUNT HATCHERY"	"MARBLEMOUNT HATCH"	"CASCADE R    03.1411"	2019	"SKAG"	"SKAG"	"SKAG"	"DIT"
"637649"	"WDFW"	"Spring"	"DEEP R NET PENS"	"KALAMA R HATCH  27.0002"	"DEEP R       25.0071"	2019	"LOCR"	"LOCR"	"LOCR"	NA
"637662"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS RIVER HATCHERY"	"LEWIS R -NF  27.0168"	2019	"LOCR"	"LOCR"	"LOCR"	NA
"637666"	"WDFW"	"Spring"	"LEWIS RIVER HATCHERY"	"LEWIS RIVER HATCHERY"	"LEWIS R -NF  27.0168"	2019	"LOCR"	"LOCR"	"LOCR"	"DIT"
"637715"	"WDFW"	"Spring"	"MARBLEMOUNT HATCHERY"	"MARBLEMOUNT HATCH"	"CASCADE R    03.1411"	2019	"SKAG"	"SKAG"	"SKAG"	NA
"637731"	"WDFW"	"Fall"	"PRIEST RAPIDS HATCHERY"	"PRIEST RAPIDS   (36)"	"COL R @ PRIEST RAPIDS"	2019	"UPCR"	"UPCR"	"UPCR"	"DIT"
"637743"	"WDFW"	"Summer"	"WALLACE R HATCHERY"	"SKYKOMISH R  07.0012"	"WALLACE R    07.0940"	2019	"NPS"	"NPS"	"NPS"	NA
"637749"	"WDFW"	"Fall"	"GEORGE ADAMS HATCHERY"	"SKOKOMISH R  16.0001"	"PURDY CR     16.0005"	2019	"HOOD"	"HOOD"	"HOOD"	NA
"637751"	"WDFW"	"Fall"	"ELWHA HATCHERY"	"ELWHA R      18.0272"	"ELWHA R      18.0272"	2019	"JUAN"	"JUAN"	"JUAN"	NA
"636090"	"WDFW"	"Fall"	NA	"COWEEMAN R   26.0003"	"COWEEMAN R   26.0003"	2010	NA	"LOCR"	"LOCR"	NA
"637784"	"WDFW"	"Fall"	"SOOS CREEK HATCHERY"	"BIG SOOS CR  09.0072"	"BIG SOOS CR  09.0072"	2019	"MPS"	"MPS"	"MPS"	"DIT"
"637789"	"WDFW"	"Summer"	"WALLACE R HATCHERY"	"SKYKOMISH R  07.0012"	"WALLACE R    07.0940"	2019	"NPS"	"NPS"	"NPS"	NA
"637332"	"WDFW"	"Spring"	NA	"NASON CR     45.0888"	"NASON CR     45.0888"	2017	NA	"UPCR"	"UPCR"	"DIT"
"637367"	"WDFW"	"Summer"	NA	"METHOW & OKANOGAN"	"METHOW R     48.0002"	2017	NA	"UPCR"	"UPCR"	NA
"090981"	"ODFW"	"Fall"	"UMATILLA HATCHERY"	"WA URB LITTLE WHITE"	"UMATILLA R"	2015	"CECR"	"CECR"	"CECR"	NA
"200148"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"WINTHROP HATCHERY"	"RIVERSIDE POND"	2018	"UPCR"	"UPCR"	""	"DIT"
"200156"	"CCT"	"Summer"	"CHIEF JOSEPH HATCHERY"	"OKANOGAN R   49.0019"	"OMAK POND"	2019	"UPCR"	"UPCR"	""	NA
"200149"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"LEAVENWORTH HATCHERY"	"CHIEF JOSEPH HATCHERY"	2018	"UPCR"	"UPCR"	"UPCR"	NA
"200130"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"LEAVENWORTH HATCHERY"	"CHIEF JOSEPH HATCHERY"	2015	"UPCR"	"UPCR"	"UPCR"	NA
"200141"	"CCT"	"Summer"	"CHIEF JOSEPH HATCHERY"	"OKANOGAN R   49.0019"	"OMAK POND"	2016	"UPCR"	"UPCR"	""	NA
"200134"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"WINTHROP HATCHERY"	"RIVERSIDE POND"	2016	"UPCR"	"UPCR"	""	"DIT"
"200135"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"WINTHROP HATCHERY"	"RIVERSIDE POND"	2016	"UPCR"	"UPCR"	""	"DIT"
"055710"	"CCT"	"Spring"	"CHIEF JOSEPH HATCHERY"	"METHOW R     48.0002"	"RIVERSIDE POND"	2013	"UPCR"	"UPCR"	""	NA
"042767"	"ADFG"	"Spring"	"MEDVEJIE"	"MEDVEJIE H"	"BEAR COVE 113-41"	2010	"SEAK"	"SEAK"	"SEAK"	NA
"182070"	"CDFO"	"Fall"	"H-Cowichan River H"	"S-Cowichan R"	"R-Cowichan R"	2012	""	""	""	NA
